station_id,timestamp,parking_count,hour,day_of_week,is_weekend
ST-1689,2025-12-26T08:16:36.862989,22,8,4,0
ST-1332,2025-12-26T08:16:36.863053,26,8,4,0
ST-111,2025-12-26T08:16:36.862788,4,8,4,0
ST-578,2025-12-26T08:16:36.863028,8,8,4,0
ST-1515,2025-12-26T08:16:36.862986,8,8,4,0
ST-4,2025-12-26T08:16:36.862642,12,8,4,0
ST-511,2025-12-26T08:16:36.862914,1,8,4,0
ST-398,2025-12-26T08:16:36.862821,12,8,4,0
ST-568,2025-12-26T08:16:36.863039,8,8,4,0
ST-547,2025-12-26T08:16:36.863007,52,8,4,0
ST-539,2025-12-26T08:16:36.862995,2,8,4,0
ST-1098,2025-12-26T08:16:36.863052,22,8,4,0
ST-185,2025-12-26T08:16:36.862749,12,8,4,0
ST-1850,2025-12-26T08:16:36.862910,11,8,4,0
ST-1342,2025-12-26T08:16:36.862859,5,8,4,0
ST-177,2025-12-26T08:16:36.862745,1,8,4,0
ST-232,2025-12-26T08:16:36.862689,12,8,4,0
ST-205,2025-12-26T08:16:36.862678,13,8,4,0
ST-413,2025-12-26T08:16:36.862700,32,8,4,0
ST-1775,2025-12-26T08:16:36.862775,7,8,4,0
ST-2223,2025-12-26T08:16:36.863034,23,8,4,0
ST-360,2025-12-26T08:16:36.862803,20,8,4,0
ST-522,2025-12-26T08:16:36.862917,13,8,4,0
ST-839,2025-12-26T08:16:36.863000,22,8,4,0
ST-51,2025-12-26T08:16:36.862693,10,8,4,0
ST-1675,2025-12-26T08:16:36.862768,15,8,4,0
ST-2222,2025-12-26T08:16:36.863033,6,8,4,0
ST-1375,2025-12-26T08:16:36.863055,52,8,4,0
ST-118,2025-12-26T08:16:36.862712,5,8,4,0
ST-1341,2025-12-26T08:16:36.862858,6,8,4,0
ST-175,2025-12-26T08:16:36.862744,26,8,4,0
ST-1436,2025-12-26T08:16:36.862761,26,8,4,0
ST-243,2025-12-26T08:16:36.862793,20,8,4,0
ST-857,2025-12-26T08:16:36.863050,5,8,4,0
ST-50,2025-12-26T08:16:36.862694,31,8,4,0
ST-1608,2025-12-26T08:16:36.862772,16,8,4,0
ST-1481,2025-12-26T08:16:36.862891,39,8,4,0
ST-840,2025-12-26T08:16:36.863010,50,8,4,0
ST-1034,2025-12-26T08:16:36.862886,11,8,4,0
ST-544,2025-12-26T08:16:36.863002,4,8,4,0
ST-570,2025-12-26T08:16:36.863041,14,8,4,0
ST-475,2025-12-26T08:16:36.862879,15,8,4,0
ST-2014,2025-12-26T08:16:36.862845,9,8,4,0
ST-1768,2025-12-26T08:16:36.862770,12,8,4,0
ST-267,2025-12-26T08:16:36.862817,4,8,4,0
ST-1674,2025-12-26T08:16:36.862893,16,8,4,0
ST-2264,2025-12-26T08:16:36.862895,30,8,4,0
ST-510,2025-12-26T08:16:36.862913,1,8,4,0
ST-200,2025-12-26T08:16:36.862672,10,8,4,0
ST-1999,2025-12-26T08:16:36.862842,1,8,4,0
ST-1064,2025-12-26T08:16:36.862977,39,8,4,0
ST-829,2025-12-26T08:16:36.862968,0,8,4,0
ST-108,2025-12-26T08:16:36.862786,60,8,4,0
ST-975,2025-12-26T08:16:36.862973,15,8,4,0
ST-516,2025-12-26T08:16:36.862916,5,8,4,0
ST-186,2025-12-26T08:16:36.862750,2,8,4,0
ST-1325,2025-12-26T08:16:36.862856,13,8,4,0
ST-1062,2025-12-26T08:16:36.862975,6,8,4,0
ST-643,2025-12-26T08:16:36.863063,61,8,4,0
ST-492,2025-12-26T08:16:36.862896,9,8,4,0
ST-178,2025-12-26T08:16:36.862747,1,8,4,0
ST-1087,2025-12-26T08:16:36.863016,6,8,4,0
ST-540,2025-12-26T08:16:36.862997,56,8,4,0
ST-203,2025-12-26T08:16:36.862675,5,8,4,0
ST-1063,2025-12-26T08:16:36.862976,59,8,4,0
ST-933,2025-12-26T08:16:36.863006,2,8,4,0
ST-496,2025-12-26T08:16:36.862899,0,8,4,0
ST-362,2025-12-26T08:16:36.862804,12,8,4,0
ST-740,2025-12-26T08:16:36.863001,2,8,4,0
ST-453,2025-12-26T08:16:36.862869,40,8,4,0
ST-459,2025-12-26T08:16:36.862872,1,8,4,0
ST-2179,2025-12-26T08:16:36.862864,1,8,4,0
ST-212,2025-12-26T08:16:36.862682,21,8,4,0
ST-572,2025-12-26T08:16:36.863024,5,8,4,0
ST-2290,2025-12-26T08:16:36.863059,32,8,4,0
ST-497,2025-12-26T08:16:36.862900,7,8,4,0
ST-2182,2025-12-26T08:16:36.862865,12,8,4,0
ST-852,2025-12-26T08:16:36.863048,1,8,4,0
ST-328,2025-12-26T08:16:36.862848,27,8,4,0
ST-132,2025-12-26T08:16:36.862719,22,8,4,0
ST-238,2025-12-26T08:16:36.862792,2,8,4,0
ST-295,2025-12-26T08:16:36.862704,35,8,4,0
ST-528,2025-12-26T08:16:36.862972,10,8,4,0
ST-254,2025-12-26T08:16:36.862800,26,8,4,0
ST-1035,2025-12-26T08:16:36.862888,23,8,4,0
ST-31,2025-12-26T08:16:36.862668,11,8,4,0
ST-1065,2025-12-26T08:16:36.862978,37,8,4,0
ST-142,2025-12-26T08:16:36.862720,12,8,4,0
ST-1785,2025-12-26T08:16:36.862779,2,8,4,0
ST-300,2025-12-26T08:16:36.862705,38,8,4,0
ST-470,2025-12-26T08:16:36.862877,1,8,4,0
ST-1443,2025-12-26T08:16:36.862861,30,8,4,0
ST-30,2025-12-26T08:16:36.862667,38,8,4,0
ST-5,2025-12-26T08:16:36.862655,12,8,4,0
ST-7,2025-12-26T08:16:36.862658,3,8,4,0
ST-6,2025-12-26T08:16:36.862657,12,8,4,0
ST-849,2025-12-26T08:16:36.863043,10,8,4,0
ST-1731,2025-12-26T08:16:36.862838,56,8,4,0
ST-850,2025-12-26T08:16:36.863044,5,8,4,0
ST-2229,2025-12-26T08:16:36.863038,5,8,4,0
ST-19,2025-12-26T08:16:36.862665,4,8,4,0
ST-157,2025-12-26T08:16:36.862740,6,8,4,0
ST-372,2025-12-26T08:16:36.862812,13,8,4,0
ST-272,2025-12-26T08:16:36.862820,6,8,4,0
ST-248,2025-12-26T08:16:36.862794,7,8,4,0
ST-211,2025-12-26T08:16:36.862681,10,8,4,0
ST-1791,2025-12-26T08:16:36.862781,10,8,4,0
ST-473,2025-12-26T08:16:36.862878,4,8,4,0
ST-307,2025-12-26T08:16:36.862707,30,8,4,0
ST-1611,2025-12-26T08:16:36.862773,21,8,4,0
ST-365,2025-12-26T08:16:36.862805,11,8,4,0
ST-313,2025-12-26T08:16:36.862832,14,8,4,0
ST-574,2025-12-26T08:16:36.863025,4,8,4,0
ST-253,2025-12-26T08:16:36.862799,20,8,4,0
ST-334,2025-12-26T08:16:36.862851,15,8,4,0
ST-948,2025-12-26T08:16:36.863062,4,8,4,0
ST-523,2025-12-26T08:16:36.862964,16,8,4,0
ST-265,2025-12-26T08:16:36.862816,13,8,4,0
ST-2225,2025-12-26T08:16:36.863035,11,8,4,0
ST-1435,2025-12-26T08:16:36.862760,23,8,4,0
ST-336,2025-12-26T08:16:36.862755,27,8,4,0
ST-1694,2025-12-26T08:16:36.862991,2,8,4,0
ST-216,2025-12-26T08:16:36.862684,14,8,4,0
ST-1333,2025-12-26T08:16:36.863054,42,8,4,0
ST-249,2025-12-26T08:16:36.862795,5,8,4,0
ST-1013,2025-12-26T08:16:36.862835,4,8,4,0
ST-204,2025-12-26T08:16:36.862676,9,8,4,0
ST-233,2025-12-26T08:16:36.862690,15,8,4,0
ST-18,2025-12-26T08:16:36.862662,10,8,4,0
ST-1061,2025-12-26T08:16:36.862902,29,8,4,0
ST-1838,2025-12-26T08:16:36.862908,16,8,4,0
ST-1036,2025-12-26T08:16:36.862890,12,8,4,0
ST-8,2025-12-26T08:16:36.862659,1,8,4,0
ST-1032,2025-12-26T08:16:36.862885,2,8,4,0
ST-831,2025-12-26T08:16:36.862911,15,8,4,0
ST-462,2025-12-26T08:16:36.862874,37,8,4,0
ST-89,2025-12-26T08:16:36.862766,21,8,4,0
ST-435,2025-12-26T08:16:36.862852,31,8,4,0
ST-151,2025-12-26T08:16:36.862723,13,8,4,0
ST-2191,2025-12-26T08:16:36.862867,17,8,4,0
ST-20,2025-12-26T08:16:36.862663,7,8,4,0
ST-198,2025-12-26T08:16:36.862754,15,8,4,0
ST-207,2025-12-26T08:16:36.862679,16,8,4,0
ST-891,2025-12-26T08:16:36.862999,104,8,4,0
ST-1083,2025-12-26T08:16:36.863014,18,8,4,0
ST-2226,2025-12-26T08:16:36.863036,16,8,4,0
ST-463,2025-12-26T08:16:36.862875,13,8,4,0
ST-571,2025-12-26T08:16:36.863023,9,8,4,0
ST-385,2025-12-26T08:16:36.862808,30,8,4,0
ST-324,2025-12-26T08:16:36.862846,13,8,4,0
ST-1070,2025-12-26T08:16:36.863011,11,8,4,0
ST-525,2025-12-26T08:16:36.862970,5,8,4,0
ST-524,2025-12-26T08:16:36.862966,3,8,4,0
ST-387,2025-12-26T08:16:36.862810,6,8,4,0
ST-183,2025-12-26T08:16:36.862743,19,8,4,0
ST-1251,2025-12-26T08:16:36.862981,20,8,4,0
ST-1776,2025-12-26T08:16:36.862776,11,8,4,0
ST-197,2025-12-26T08:16:36.862753,3,8,4,0
ST-236,2025-12-26T08:16:36.862790,27,8,4,0
ST-465,2025-12-26T08:16:36.862876,4,8,4,0
ST-454,2025-12-26T08:16:36.862870,11,8,4,0
ST-1786,2025-12-26T08:16:36.862780,0,8,4,0
ST-289,2025-12-26T08:16:36.862702,5,8,4,0
ST-946,2025-12-26T08:16:36.862855,12,8,4,0
ST-483,2025-12-26T08:16:36.862813,1,8,4,0
ST-72,2025-12-26T08:16:36.862698,12,8,4,0
ST-180,2025-12-26T08:16:36.862748,21,8,4,0
ST-542,2025-12-26T08:16:36.862998,6,8,4,0
ST-586,2025-12-26T08:16:36.863045,4,8,4,0
ST-366,2025-12-26T08:16:36.862806,4,8,4,0
ST-847,2025-12-26T08:16:36.863040,30,8,4,0
ST-1709,2025-12-26T08:16:36.862988,31,8,4,0
ST-119,2025-12-26T08:16:36.862713,29,8,4,0
ST-943,2025-12-26T08:16:36.862756,26,8,4,0
ST-409,2025-12-26T08:16:36.862824,4,8,4,0
ST-825,2025-12-26T08:16:36.863019,12,8,4,0
